../data/obama_speeches_speech-4427.txt	Barack Obama	Acceptance Speech at the Democratic National Convention 	August 28, 2008
../data/obama_speeches_speech-4424.txt	Barack Obama	Remarks on Election Night 	November 4, 2008
../data/obama_speeches_speech-4453.txt	Barack Obama	Inaugural Address 	January 20, 2009
../data/obama_speeches_speech-4612.txt	Barack Obama	Address Before a Joint Session of Congress 	February 24, 2009
../data/obama_speeches_speech-5502.txt	Barack Obama	Address at Cairo University 	June 4, 2009
../data/obama_speeches_speech-5548.txt	Barack Obama	Address to Congress on Health Care 	September 9, 2009
../data/obama_speeches_speech-5706.txt	Barack Obama	State of the Union Address 	January 27, 2010
../data/gwbush_speeches_speech-3645.txt	George W. Bush	First Inaugural Address 	January 20, 2001
../data/gwbush_speeches_speech-3986.txt	George W. Bush	Remarks on Signing the Economic Growth and Tax Relief Reconciliation Act 	June 7, 2001
../data/gwbush_speeches_speech-4540.txt	George W. Bush	State of the Union Address 	January 29, 2002
../data/gwbush_speeches_speech-4541.txt	George W. Bush	State of the Union Address 	January 28, 2003
../data/gwbush_speeches_speech-4542.txt	George W. Bush	State of the Union Address 	January 20, 2004
../data/gwbush_speeches_speech-4463.txt	George W. Bush	Second Inaugural Address 	January 20, 2005
../data/gwbush_speeches_speech-4464.txt	George W. Bush	State of the Union Address 	February 2, 2005
../data/gwbush_speeches_speech-4461.txt	George W. Bush	State of the Union Address 	January 31, 2006
../data/gwbush_speeches_speech-4455.txt	George W. Bush	State of the Union Address 	January 23, 2007
../data/gwbush_speeches_speech-4454.txt	George W. Bush	State of the Union Address 	January 28, 2008
../data/gwbush_speeches_speech-4452.txt	George W. Bush	Remarks on the War on Terror 	March 19, 2008
../data/gwbush_speeches_speech-4450.txt	George W. Bush	Farewell Address to the Nation 	January 15, 2009
../data/clinton_speeches_speech-3434.txt	Bill Clinton	First Inaugural 	January 20, 1993
../data/clinton_speeches_speech-4561.txt	Bill Clinton	Press Conference on &#8220;Gays in the Military&#8221; 	January 29, 1993
../data/clinton_speeches_speech-4562.txt	Bill Clinton	Remarks at the Signing of the Family Medical Leave Act 	February 5, 1993
../data/clinton_speeches_speech-3435.txt	Bill Clinton	Address Before a Joint Session of Congress 	February 17, 1993
../data/clinton_speeches_speech-4563.txt	Bill Clinton	National Service Address 	April 30, 1993
../data/clinton_speeches_speech-4564.txt	Bill Clinton	Remarks on Operation Restore Hope 	May 5, 1993
../data/clinton_speeches_speech-4565.txt	Bill Clinton	Speech at the 25th Anniversary Memorial Mass for Robert F. Kennedy 	June 6, 1993
../data/clinton_speeches_speech-3925.txt	Bill Clinton	Remarks at the Signing of the Israeli-Palestinian Agreement 	September 13, 1993
../data/clinton_speeches_speech-3926.txt	Bill Clinton	Address on Health Care Reform 	September 22, 1993
../data/clinton_speeches_speech-4566.txt	Bill Clinton	Address on Somalia 	October 7, 1993
../data/clinton_speeches_speech-3436.txt	Bill Clinton	Remarks to the Convocation of the Church of God in Christ in Memphis 	November 13, 1993
../data/clinton_speeches_speech-3927.txt	Bill Clinton	Remarks on the Signing of NAFTA 	December 8, 1993
../data/clinton_speeches_speech-3437.txt	Bill Clinton	State of the Union Address 	January 25, 1994
../data/clinton_speeches_speech-3438.txt	Bill Clinton	Remarks at the U.S. National Cemetery 	June 6, 1994
../data/clinton_speeches_speech-3439.txt	Bill Clinton	Remarks at the Brandenburg Gate 	July 12, 1994
../data/clinton_speeches_speech-3440.txt	Bill Clinton	State of the Union Address 	January 24, 1995
../data/clinton_speeches_speech-3441.txt	Bill Clinton	Time for Healing Ceremony 	April 23, 1995
../data/clinton_speeches_speech-4594.txt	Bill Clinton	Address on Affirmative Action 	July 19, 1995
../data/clinton_speeches_speech-4595.txt	Bill Clinton	Address on Race Relations 	October 16, 1995
../data/clinton_speeches_speech-3929.txt	Bill Clinton	Address on Bosnia 	November 27, 1995
../data/clinton_speeches_speech-3442.txt	Bill Clinton	Address to the Employees of the Mackie Metal Plant 	November 30, 1995
../data/clinton_speeches_speech-5494.txt	Bill Clinton	State of the Union Address 	January 23, 1996
../data/clinton_speeches_speech-4596.txt	Bill Clinton	Victims Rights Announcement 	June 25, 1996
../data/clinton_speeches_speech-4597.txt	Bill Clinton	Remarks at the Democratic National Convention 	August 29, 1996
../data/clinton_speeches_speech-4598.txt	Bill Clinton	Presidential Debate with Senator Bob Dole 	October 6, 1996
../data/clinton_speeches_speech-4599.txt	Bill Clinton	Remarks to the Congregation of St. Paul&#8217;s AME Church 	November 3, 1996
../data/clinton_speeches_speech-3443.txt	Bill Clinton	Second Inaugural 	January 20, 1997
../data/clinton_speeches_speech-5495.txt	Bill Clinton	State of the Union Address 	February 4, 1997
../data/clinton_speeches_speech-4600.txt	Bill Clinton	Address to the People and Relief Workers of Grand Forks, ND 	April 22, 1997
../data/clinton_speeches_speech-3930.txt	Bill Clinton	Response to the Lewinsky Allegations 	January 26, 1998
../data/clinton_speeches_speech-3444.txt	Bill Clinton	State of the Union Address 	January 27, 1998
../data/clinton_speeches_speech-4601.txt	Bill Clinton	Remarks to the People of Ghana 	March 23, 1998
../data/clinton_speeches_speech-4602.txt	Bill Clinton	Remarks to the People of Rwanda 	March 25, 1998
../data/clinton_speeches_speech-3931.txt	Bill Clinton	Statement on His Testimony Before the Grand Jury 	August 17, 1998
../data/clinton_speeches_speech-5496.txt	Bill Clinton	State of the Union Address 	January 19, 1999
../data/clinton_speeches_speech-3932.txt	Bill Clinton	Statement on Kosovo 	March 24, 1999
../data/clinton_speeches_speech-3933.txt	Bill Clinton	Address on the Kosovo Agreement 	June 10, 1999
../data/clinton_speeches_speech-5497.txt	Bill Clinton	State of the Union Address 	January 27, 2000
../data/clinton_speeches_speech-4155.txt	Bill Clinton	Farewell Address 	January 18, 2001
../data/bush_speeches_speech-5526.txt	George H. W. Bush	Acceptance Speech at the Republican National Convention 	August 18, 1988
../data/bush_speeches_speech-5527.txt	George H. W. Bush	Debate with Michael Dukakis 	September 25, 1988
../data/bush_speeches_speech-3419.txt	George H. W. Bush	Inaugural Address 	January 20, 1989
../data/bush_speeches_speech-3420.txt	George H. W. Bush	Address Before a Joint Session of Congress 	February 9, 1989
../data/bush_speeches_speech-3421.txt	George H. W. Bush	Commencement Address at Texas A&amp;M University 	May 12, 1989
../data/bush_speeches_speech-3422.txt	George H. W. Bush	Address to the Nation on Panama 	December 20, 1989
../data/bush_speeches_speech-3423.txt	George H. W. Bush	State of the Union Address 	January 31, 1990
